School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Christian Brothers College,55.96,34.02,89.99,1,2,1
Vianney,36.04,26.45,62.5,2,11,2
Rockhurst,21.72,38.09,59.81,26,1,3
De Smet Jesuit,26.4,32.31,58.72,11,3,4
Trinity Catholic,34.22,24.0,58.23,4,16,5
Blair Oaks,34.49,23.37,57.86,3,20,6
Webb City,29.68,28.16,57.84,8,7,7
Carthage,30.04,26.75,56.79,7,10,8
Ladue Horton Watkins,24.04,31.33,55.37,16,4,9
Lee's Summit North,25.01,30.37,55.37,14,5,10
Joplin,30.35,22.11,52.46,5,22,11
Blue Springs,23.14,27.54,50.68,21,9,12
Lee's Summit West,25.19,25.15,50.34,13,13,13
Lutheran North,26.42,23.39,49.81,10,19,14
Rock Bridge,26.38,23.41,49.79,12,18,15
West Plains,22.85,25.92,48.77,22,12,16
Park Hill,19.01,29.04,48.04,35,6,17
Jackson,30.21,16.92,47.13,6,39,18
Staley,15.82,28.05,43.87,47,8,19
Cardinal Ritter,24.64,18.96,43.6,15,30,20
Kirkwood,27.07,16.0,43.07,9,42,21
Hayti,23.87,19.04,42.91,18,29,22
Fort Osage,16.8,24.48,41.28,42,14,23
Liberty,23.51,17.65,41.16,19,35,24
Camdenton,22.27,18.32,40.59,23,33,25
Maryville,15.87,24.47,40.34,45,15,26
Smithville,16.56,23.12,39.68,44,21,27
Eureka,17.72,21.62,39.34,40,23,28
Kearney,15.62,23.45,39.06,48,17,29
Pattonville,17.95,21.1,39.05,38,25,30
Odessa,23.37,15.05,38.42,20,47,31
Liberty North,16.96,21.42,38.38,41,24,32
St. Francis Borgia,18.96,18.37,37.32,36,32,33
Lathrop,19.05,17.98,37.02,34,34,34
Francis Howell,22.06,14.83,36.89,25,49,35
Chaminade College Prep,21.7,14.79,36.49,27,50,36
Raymore-Peculiar,22.24,12.3,34.54,24,66,37
Battle,23.93,9.73,33.66,17,83,38
Lee's Summit,15.83,17.56,33.39,46,36,39
Platte County,19.92,13.28,33.2,32,59,40
Raytown,20.95,12.14,33.08,29,70,41
Fox,15.29,17.34,32.63,51,38,42
North Kansas City,20.0,12.15,32.16,31,69,43
Lebanon,21.01,11.14,32.16,28,76,44
Neosho,11.13,20.77,31.9,68,26,45
Blue Springs South,14.34,17.55,31.89,56,37,46
MICDS,12.44,19.41,31.85,61,28,47
Marquette,11.17,20.44,31.61,67,27,48
Hannibal,19.37,12.07,31.44,33,71,49
Ft. Zumwalt North,15.44,15.71,31.14,49,44,50
Jefferson City,11.73,15.63,27.36,63,45,51
Lamar,16.66,10.65,27.31,43,81,52
Cassville,13.01,13.91,26.92,60,56,53
Timberland,9.91,16.2,26.11,73,41,54
Pleasant Hill,18.66,6.96,25.62,37,105,55
Ava,13.24,12.07,25.3,58,72,56
Ft. Zumwalt West,6.7,18.49,25.19,101,31,57
Willard,7.92,16.52,24.44,90,40,58
Republic,10.25,14.02,24.27,71,55,59
Helias Catholic,20.49,3.45,23.94,30,135,60
Carl Junction,8.37,14.39,22.75,86,52,61
Grain Valley,9.79,12.94,22.73,76,62,62
Southern Boone,9.59,12.74,22.33,80,63,63
Kennett,14.77,7.36,22.14,53,101,64
Lindbergh,6.3,15.82,22.12,105,43,65
Rockwood Summit,9.74,12.21,21.95,78,68,66
Mt. Vernon,6.48,14.71,21.19,103,51,67
Grandview,8.05,13.0,21.05,88,61,68
SLUH,7.18,13.55,20.73,97,58,69
Parkway North,8.0,12.3,20.3,89,65,70
Nixa,5.86,14.14,20.0,108,54,71
Hazelwood East,10.3,9.44,19.74,70,84,72
Belton,15.38,4.11,19.5,50,130,73
Troy Buchanan,14.75,4.73,19.48,54,122,74
Springfield Catholic,9.74,9.09,18.83,77,89,75
Excelsior Springs,12.26,6.4,18.66,62,108,76
Strafford,6.94,11.72,18.66,99,74,77
Savannah,14.41,4.21,18.62,55,129,78
Hazelwood Central,4.24,14.37,18.61,121,53,79
Warrensburg,10.09,8.13,18.22,72,94,80
Lawson,4.17,13.84,18.01,122,57,81
Ft. Zumwalt East,11.72,6.01,17.74,64,114,82
Moberly,5.27,12.32,17.59,114,64,83
St. Charles West,9.86,7.68,17.53,74,97,84
Smith-Cotton,5.79,10.95,16.74,110,77,85
Westminster Christian Academy,8.52,7.97,16.49,85,96,86
William Chrisman,9.2,7.22,16.42,82,103,87
Hazelwood West,7.46,8.88,16.34,95,90,88
Caruthersville,7.65,8.52,16.17,93,91,89
Parkway West,7.9,8.05,15.95,91,95,90
Ritenour,13.24,2.7,15.94,57,143,91
Branson,0.66,15.16,15.82,142,46,92
Park Hill South,4.49,10.93,15.41,118,78,93
Liberty (Mountain View),7.79,7.57,15.36,92,100,94
St. Dominic,4.37,10.86,15.23,120,79,95
St. Mary's South Side,13.21,1.46,14.67,59,150,96
Fair Grove,5.28,9.17,14.45,113,86,97
Mehlville,7.02,7.34,14.35,98,102,98
Lexington,8.12,6.11,14.23,87,113,99
Clark County,3.99,10.24,14.22,123,82,100
Holt,14.89,-0.8,14.09,52,170,101
Parkview,17.81,-4.42,13.4,39,197,102
Farmington,8.86,4.34,13.2,83,128,103
Parkway Central,2.35,10.7,13.04,132,80,104
Hickman,0.65,12.23,12.88,143,67,105
Summit Christian Academy,6.35,6.32,12.66,104,110,106
Boonville,4.87,7.66,12.53,115,98,107
St. Clair,9.2,3.16,12.36,81,141,108
Lutheran St. Charles,5.85,6.13,11.98,109,112,109
Monroe City,2.52,9.09,11.61,130,88,110
Rolla,7.24,4.02,11.26,96,132,111
Marshfield,3.93,7.17,11.1,124,104,112
Union,1.69,9.29,10.99,136,85,113
Charleston,9.72,-0.03,9.69,79,165,114
Oak Park,-2.46,11.93,9.46,164,73,115
Macon,3.41,5.56,8.96,126,115,116
Reeds Spring,4.4,4.46,8.86,119,126,117
Center,-2.67,11.53,8.86,167,75,118
Lafayette (St. Joseph),7.62,1.08,8.7,94,154,119
Thayer,-0.34,8.45,8.11,150,92,120
Ozark,-1.07,9.09,8.02,156,87,121
Lutheran South,4.59,3.25,7.84,117,139,122
Valle Catholic,6.22,1.51,7.74,106,149,123
Pembroke Hill,-5.42,13.06,7.64,192,60,124
Festus,2.12,5.42,7.54,134,116,125
Miller Career Academy,2.52,4.69,7.21,131,123,126
Hogan Prep Academy Charter,6.05,1.08,7.13,107,155,127
Sikeston,-7.78,14.88,7.1,215,48,128
Seneca,9.82,-3.12,6.7,75,186,129
Lafayette (Wildwood),1.78,4.49,6.26,135,125,130
Priory,-0.21,6.18,5.97,148,111,131
McCluer North,1.24,4.45,5.68,139,127,132
Father Tolton with Calvary Lutheran,11.5,-5.9,5.59,65,212,133
Bolivar,3.72,1.83,5.55,125,146,134
Central (St. Joseph),-0.34,4.64,4.3,151,124,135
North County,11.48,-7.29,4.19,66,217,136
Kirksville,5.72,-1.74,3.98,111,179,137
Mid-Buchanan,-0.13,4.05,3.93,147,131,138
Jennings,0.49,3.37,3.85,144,136,139
Lafayette County,3.19,0.24,3.43,127,161,140
McCluer South-Berkeley,-3.47,6.65,3.18,174,106,141
