School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Trinity Catholic,46.41,36.64,83.05,1,2,1
Maryville,25.47,39.99,65.46,4,1,2
Odessa,32.64,20.0,52.64,2,4,3
Cardinal Ritter,28.76,23.79,52.55,3,3,4
Pleasant Hill,23.83,10.99,34.82,5,11,5
Cassville,14.93,15.22,30.15,8,6,6
Savannah,18.49,10.55,29.04,6,12,7
Kennett,18.12,7.58,25.69,7,17,8
Mt. Vernon,6.58,15.49,22.07,16,5,9
Springfield Catholic,10.63,10.42,21.05,10,13,10
Southern Boone,6.03,14.05,20.08,18,7,11
St. Charles West,11.29,7.02,18.3,9,19,12
Moberly,4.04,12.66,16.69,22,9,13
St. Clair,10.48,4.39,14.87,11,25,14
Miller Career Academy,6.91,6.81,13.72,14,20,15
Lutheran South,6.73,6.15,12.88,15,21,16
Lutheran St. Charles,4.3,8.26,12.56,21,15,17
Center,-2.45,14.05,11.6,32,8,18
Reeds Spring,5.78,4.8,10.58,19,24,19
Boonville,4.4,5.48,9.88,20,22,20
Seneca,10.38,-2.05,8.34,12,34,21
McCluer South-Berkeley,-2.1,8.49,6.4,30,14,22
John Burroughs,2.48,2.61,5.09,24,27,23
Hogan Prep Academy Charter,6.17,-1.22,4.96,17,31,24
Central (Park Hills),-2.19,7.02,4.83,31,18,25
Pembroke Hill,-8.27,12.07,3.8,38,10,26
Ste. Genevieve,-1.69,3.05,1.37,28,26,27
Orchard Farm,8.71,-8.06,0.66,13,41,28
Buffalo,0.8,-1.79,-0.99,26,33,29
Dexter,-11.28,7.9,-3.38,46,16,30
Eldon,-2.08,-1.33,-3.4,29,32,31
Aurora,-5.58,0.99,-4.6,37,28,32
Hollister,-4.97,-0.76,-5.73,34,30,33
Winfield,3.75,-10.32,-6.57,23,46,34
Veritas Christian Academy,-0.64,-6.75,-7.4,27,38,35
Oak Grove,2.19,-9.66,-7.47,25,45,36
Potosi,-13.89,5.1,-8.79,48,23,37
Centralia,-5.48,-4.36,-9.84,36,36,38
Mexico,-4.28,-9.16,-13.44,33,43,39
Salem,-10.56,-3.26,-13.82,43,35,40
Logan-Rogersville,-8.99,-4.84,-13.83,39,37,41
Nevada,-5.17,-11.28,-16.45,35,48,42
Perryville,-16.7,0.13,-16.57,51,29,43
Normandy Collaborative,-9.93,-7.26,-17.19,41,39,44
St. James,-9.56,-9.34,-18.89,40,44,45
St. Pius X (Kansas City),-10.7,-9.03,-19.73,44,42,46
Osage,-13.13,-7.55,-20.67,47,40,47
Soldan International Studies,-10.08,-12.79,-22.87,42,50,48
Chillicothe,-17.93,-10.79,-28.72,53,47,49
Fredericktown,-11.03,-19.33,-30.36,45,53,50
Benton,-16.17,-18.13,-34.3,50,52,51
Southeast,-17.85,-17.16,-35.01,52,51,52
Owensville,-15.18,-21.09,-36.27,49,55,53
Clinton,-25.7,-12.13,-37.83,57,49,54
Fulton,-21.41,-22.44,-43.85,54,56,55
Cameron,-24.97,-20.49,-45.45,55,54,56
Wright City,-25.17,-30.5,-55.67,56,58,57
Vashon,-36.7,-26.1,-62.8,62,57,58
Doniphan,-33.85,-33.96,-67.81,59,59,59
Bayless,-35.46,-34.12,-69.58,60,60,60
Northeast (Kansas City),-31.48,-43.14,-74.63,58,62,61
Central (Kansas City),-36.18,-41.04,-77.22,61,61,62
Confluence Prep Academy Charter,-45.13,-44.46,-89.58,63,63,63
